name,alt_name,company,state,municipality,fuel_bucket,technology,capacity_mw,commission_year,closure_year,lat,lon
Kraftwerk Hausham,Hausham GT 1 bis 4,Peissenberger Kraftwerksgesellschaft mbH,Bayern,Hausham,oil,Gas turbine,23.4,1982.0,,47.752396000000005,11.839802
Kraftwerk Hausham,Hausham GT 1 bis 4,Peissenberger Kraftwerksgesellschaft mbH,Bayern,Hausham,oil,Gas turbine,23.4,1982.0,,47.752396000000005,11.839802
Dampfkraftwerk Marbach am Neckar,,EnBW Energie Baden-Württemberg AG,Baden-Württemberg,Marbach,oil,Gas turbine,77.4,1971.0,,48.927497,9.230005
Dampfkraftwerk Marbach am Neckar,Marbach III,EnBW Energie Baden-Württemberg AG,Baden-Württemberg,Marbach,oil,Combined cycle,85.0,1975.0,,48.927497,9.230005
Dampfkraftwerk Marbach am Neckar,Marbach III,EnBW Energie Baden-Württemberg AG,Baden-Württemberg,Marbach,oil,Combined cycle,263.5,1975.0,,48.927497,9.230005
Itzehoe,,Uniper Kraftwerke GmbH ,Schleswig-Holstein,Oldendorf,oil,Steam turbine,88.0,1972.0,,53.966422,9.449486
Audorf,,Uniper Kraftwerke GmbH ,Schleswig-Holstein,Osterrönfeld,oil,Steam turbine,87.0,1973.0,,54.290672,9.722775
IKS PCK Schwedt,,PCK Raffinerie GmbH,Brandenburg,PCK Schwedt,oil,Steam turbine,28.0,1972.0,,53.098180000000006,14.23454
Restmüll-Heizkraftwerk Stuttgart-Münster,Stuttgart-Münster,EnBW Energie Baden-Württemberg AG,Baden-Württemberg,Stuttgart,oil,Steam turbine,23.3,1974.0,,48.815833000000005,9.221111
Restmüll-Heizkraftwerk Stuttgart-Münster,Stuttgart-Münster,EnBW Energie Baden-Württemberg AG,Baden-Württemberg,Stuttgart,oil,Steam turbine,23.3,1974.0,,48.815833000000005,9.221111
Restmüll-Heizkraftwerk Stuttgart-Münster,Stuttgart-Münster,EnBW Energie Baden-Württemberg AG,Baden-Württemberg,Stuttgart,oil,Steam turbine,23.3,1974.0,,48.815833000000005,9.221111
Irsching,Irsching 3,Uniper Kraftwerke GmbH ,Bayern,Vohburg,oil,Steam turbine,415.0,1974.0,,48.76702,11.580033
