name,alt_name,company,state,municipality,fuel_bucket,technology,capacity_mw,commission_year,closure_year,lat,lon
Weisweiler,,RWE Power AG,Nordrhein-Westfalen,Eschweiler-Weisweiler,lignite,Steam turbine,135.0,1959.0,2012.0,50.839167,6.321111
Weisweiler,Weisweiler E (4),RWE Power AG,Nordrhein-Westfalen,Eschweiler-Weisweiler,lignite,Steam turbine,321.0,1965.0,,50.839167,6.321111
Weisweiler,Weisweiler F (5),RWE Power AG,Nordrhein-Westfalen,Eschweiler-Weisweiler,lignite,Steam turbine,321.0,1967.0,,50.839167,6.321111
Weisweiler,Weisweiler G (6),RWE Power AG,Nordrhein-Westfalen,Eschweiler-Weisweiler,lignite,Steam turbine,663.0,1974.0,,50.839167,6.321111
Weisweiler,Weisweiler H (7),RWE Power AG,Nordrhein-Westfalen,Eschweiler-Weisweiler,lignite,Steam turbine,656.0,1975.0,,50.839167,6.321111
P&L Werk Euskirchen,,Pfeifer & Langen GmbH & Co. KG,Nordrhein-Westfalen,Euskirchen,lignite,Steam turbine,14.5,1979.0,,50.65803,6.81012
HKW Sachtleben,,Venator Germany GmbH,Nordrhein-Westfalen,Duisburg,lignite,Steam turbine,27.5,1964.0,,51.44089,6.705430000000001
Grubenheizkraftwerk,,ROMONTA GmbH,Sachsen-Anhalt,Seegebiet Mansfelder Land,lignite,Steam turbine,45.0,1979.0,,51.462749,11.714028
Kessel 4,,Papierfabrik Schoellershammer H. A. Schoeller Söhne GmbH & Co KG,Nordrhein-Westfalen,Düren,lignite,Steam turbine,9.3,1983.0,,50.77701,6.48605
Ahrensfelde,,Lausitz Energie Kraftwerke AG,Brandenburg,Ahrensfelde,natural_gas,Gas turbine,37.5,1990.0,,52.58950001,13.5586524
Ahrensfelde,,Lausitz Energie Kraftwerke AG,Brandenburg,Ahrensfelde,natural_gas,Gas turbine,37.5,1990.0,,52.58950001,13.5586524
Ahrensfelde,,Lausitz Energie Kraftwerke AG,Brandenburg,Ahrensfelde,natural_gas,Gas turbine,37.5,1990.0,,52.58950001,13.5586524
Ahrensfelde,,Lausitz Energie Kraftwerke AG,Brandenburg,Ahrensfelde,natural_gas,Gas turbine,37.5,1990.0,,52.58950001,13.5586524
